Provincia;UCD;PSOE;PCE;AP;PSP-US;PDPC;PNV;UDC-IDCC;EC-FED;EE;CAIC;INDEP
Almería;3;2;0;0;0;0;0;0;0;0;0;0
Cádiz;2;4;1;0;1;0;0;0;0;0;0;0
Córdoba;3;3;1;0;0;0;0;0;0;0;0;0
Granada;4;3;0;0;0;0;0;0;0;0;0;0
Huelva;3;2;0;0;0;0;0;0;0;0;0;0
Jaén;3;4;0;0;0;0;0;0;0;0;0;0
Málaga;3;4;1;0;0;0;0;0;0;0;0;0
Sevilla;5;5;2;0;0;0;0;0;0;0;0;0
Huesca;2;1;0;0;0;0;0;0;0;0;0;0
Teruel;2;1;0;0;0;0;0;0;0;0;0;0
Zaragoza;3;3;0;0;1;0;0;0;0;0;1;0
Asturias;4;4;1;1;0;0;0;0;0;0;0;0
Illes Balears;4;2;0;0;0;0;0;0;0;0;0;0
Las Palmas;5;1;0;0;0;0;0;0;0;0;0;0
Santa Cruz de Tenerife;5;2;0;0;0;0;0;0;0;0;0;0
Cantabria;3;1;0;1;0;0;0;0;0;0;0;0
Albacete;2;2;0;0;0;0;0;0;0;0;0;0
Ciudad Real;3;2;0;0;0;0;0;0;0;0;0;0
Cuenca;3;1;0;0;0;0;0;0;0;0;0;0
Guadalajara;2;1;0;0;0;0;0;0;0;0;0;0
Toledo;2;2;0;1;0;0;0;0;0;0;0;0
Ávila;3;0;0;0;0;0;0;0;0;0;0;0
Burgos;3;1;0;0;0;0;0;0;0;0;0;0
León;4;1;0;1;0;0;0;0;0;0;0;0
Palencia;2;1;0;0;0;0;0;0;0;0;0;0
Salamanca;3;1;0;0;0;0;0;0;0;0;0;0
Segovia;2;1;0;0;0;0;0;0;0;0;0;0
Soria;3;0;0;0;0;0;0;0;0;0;0;0
Valladolid;3;2;0;0;0;0;0;0;0;0;0;0
Zamora;2;1;0;1;0;0;0;0;0;0;0;0
Barcelona;5;11;7;1;0;6;0;2;1;0;0;0
Girona;1;2;0;0;0;2;0;0;0;0;0;0
Lleida;1;1;0;0;0;2;0;0;0;0;0;0
Tarragona;2;1;1;0;0;1;0;0;0;0;0;0
Badajoz;4;3;0;0;0;0;0;0;0;0;0;0
Cáceres;4;1;0;0;0;0;0;0;0;0;0;0
A Coruña;6;2;0;1;0;0;0;0;0;0;0;0
Lugo;4;0;0;1;0;0;0;0;0;0;0;0
Ourense;4;0;0;1;0;0;0;0;0;0;0;0
Pontevedra;6;1;0;1;0;0;0;0;0;0;0;0
Madrid;11;11;4;3;3;0;0;0;0;0;0;0
Navarra;3;2;0;0;0;0;0;0;0;0;0;0
Araba/Álava;2;1;0;0;0;0;1;0;0;0;0;0
Gipuzkoa;0;3;0;0;0;0;3;0;0;1;0;0
Bizkaia;2;3;0;1;0;0;4;0;0;0;0;0
Murcia;4;4;0;0;0;0;0;0;0;0;0;0
La Rioja;2;1;0;1;0;0;0;0;0;0;0;0
Alicante/Alacant;4;4;1;0;0;0;0;0;0;0;0;0
Castellón/Castelló;2;2;0;0;0;0;0;0;0;0;0;1
Valencia/València;5;7;1;1;1;0;0;0;0;0;0;0
Ceuta;1;0;0;0;0;0;0;0;0;0;0;0
Melilla;1;0;0;0;0;0;0;0;0;0;0;0
Total;165;118;20;16;6;11;8;2;1;1;1;1
