Provincia;UCD;PSOE;PCE;CD;CIU;UN;PSA-PA;PNV;HB;ERFN;EE;C-UPC;PAR;UPN
Almería;3;2;0;0;0;0;0;0;0;0;0;0;0;0
Cádiz;2;3;1;0;0;0;2;0;0;0;0;0;0;0
Córdoba;3;3;1;0;0;0;0;0;0;0;0;0;0;0
Granada;3;3;1;0;0;0;0;0;0;0;0;0;0;0
Huelva;3;2;0;0;0;0;0;0;0;0;0;0;0;0
Jaén;3;3;1;0;0;0;0;0;0;0;0;0;0;0
Málaga;3;3;1;0;0;0;1;0;0;0;0;0;0;0
Sevilla;4;4;2;0;0;0;2;0;0;0;0;0;0;0
Huesca;2;1;0;0;0;0;0;0;0;0;0;0;0;0
Teruel;2;1;0;0;0;0;0;0;0;0;0;0;0;0
Zaragoza;4;3;0;0;0;0;0;0;0;0;0;0;1;0
Asturias;4;4;1;1;0;0;0;0;0;0;0;0;0;0
Illes Balears;4;2;0;0;0;0;0;0;0;0;0;0;0;0
Las Palmas;4;1;0;0;0;0;0;0;0;0;0;1;0;0
Santa Cruz de Tenerife;5;2;0;0;0;0;0;0;0;0;0;0;0;0
Cantabria;3;2;0;0;0;0;0;0;0;0;0;0;0;0
Albacete;2;2;0;0;0;0;0;0;0;0;0;0;0;0
Ciudad Real;3;2;0;0;0;0;0;0;0;0;0;0;0;0
Cuenca;3;1;0;0;0;0;0;0;0;0;0;0;0;0
Guadalajara;2;1;0;0;0;0;0;0;0;0;0;0;0;0
Toledo;3;2;0;0;0;0;0;0;0;0;0;0;0;0
Ávila;3;0;0;0;0;0;0;0;0;0;0;0;0;0
Burgos;3;1;0;0;0;0;0;0;0;0;0;0;0;0
León;4;2;0;0;0;0;0;0;0;0;0;0;0;0
Palencia;2;1;0;0;0;0;0;0;0;0;0;0;0;0
Salamanca;3;1;0;0;0;0;0;0;0;0;0;0;0;0
Segovia;2;1;0;0;0;0;0;0;0;0;0;0;0;0
Soria;2;1;0;0;0;0;0;0;0;0;0;0;0;0
Valladolid;3;2;0;0;0;0;0;0;0;0;0;0;0;0
Zamora;3;1;0;0;0;0;0;0;0;0;0;0;0;0
Barcelona;6;12;7;1;6;0;0;0;0;1;0;0;0;0
Girona;2;2;0;0;1;0;0;0;0;0;0;0;0;0
Lleida;2;1;0;0;1;0;0;0;0;0;0;0;0;0
Tarragona;2;2;1;0;0;0;0;0;0;0;0;0;0;0
Badajoz;4;3;0;0;0;0;0;0;0;0;0;0;0;0
Cáceres;3;2;0;0;0;0;0;0;0;0;0;0;0;0
A Coruña;6;2;0;1;0;0;0;0;0;0;0;0;0;0
Lugo;3;1;0;1;0;0;0;0;0;0;0;0;0;0
Ourense;3;1;0;1;0;0;0;0;0;0;0;0;0;0
Pontevedra;5;2;0;1;0;0;0;0;0;0;0;0;0;0
Madrid;12;12;4;3;0;1;0;0;0;0;0;0;0;0
Navarra;3;1;0;0;0;0;0;0;0;0;0;0;0;1
Araba/Álava;2;1;0;0;0;0;0;1;0;0;0;0;0;0
Gipuzkoa;1;2;0;0;0;0;0;2;1;0;1;0;0;0
Bizkaia;2;2;0;0;0;0;0;4;2;0;0;0;0;0
Murcia;4;4;0;0;0;0;0;0;0;0;0;0;0;0
La Rioja;3;1;0;0;0;0;0;0;0;0;0;0;0;0
Alicante/Alacant;4;4;1;0;0;0;0;0;0;0;0;0;0;0
Castellón/Castelló;3;2;0;0;0;0;0;0;0;0;0;0;0;0
Valencia/València;6;7;2;0;0;0;0;0;0;0;0;0;0;0
Ceuta;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Melilla;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Total;168;121;23;9;8;1;5;7;3;1;1;1;1;1
