Provincia;PSOE;AP-PDP;UCD;PCE;CIU;CDS;EAJ-PNV;HB;ERC;EE
Almería;4;1;0;0;0;0;0;0;0;0
Cádiz;6;2;0;0;0;0;0;0;0;0
Córdoba;5;2;0;0;0;0;0;0;0;0
Granada;5;2;0;0;0;0;0;0;0;0
Huelva;4;1;0;0;0;0;0;0;0;0
Jaén;5;2;0;0;0;0;0;0;0;0
Málaga;6;2;0;0;0;0;0;0;0;0
Sevilla;8;3;0;1;0;0;0;0;0;0
Huesca;2;1;0;0;0;0;0;0;0;0
Teruel;2;1;0;0;0;0;0;0;0;0
Zaragoza;5;3;0;0;0;0;0;0;0;0
Asturias;6;3;0;1;0;0;0;0;0;0
Illes Balears;3;3;0;0;0;0;0;0;0;0
Las Palmas;3;2;1;0;0;0;0;0;0;0
Santa Cruz de Tenerife;4;2;1;0;0;0;0;0;0;0
Cantabria;3;2;0;0;0;0;0;0;0;0
Albacete;3;1;0;0;0;0;0;0;0;0
Ciudad Real;3;2;0;0;0;0;0;0;0;0
Cuenca;2;2;0;0;0;0;0;0;0;0
Guadalajara;2;1;0;0;0;0;0;0;0;0
Toledo;3;2;0;0;0;0;0;0;0;0
Ávila;1;1;0;0;0;1;0;0;0;0
Burgos;2;2;0;0;0;0;0;0;0;0
León;3;2;1;0;0;0;0;0;0;0
Palencia;2;1;0;0;0;0;0;0;0;0
Salamanca;3;1;0;0;0;0;0;0;0;0
Segovia;1;2;0;0;0;0;0;0;0;0
Soria;1;1;1;0;0;0;0;0;0;0
Valladolid;3;2;0;0;0;0;0;0;0;0
Zamora;2;1;1;0;0;0;0;0;0;0
Barcelona;18;5;0;1;8;0;0;0;1;0
Girona;2;1;0;0;2;0;0;0;0;0
Lleida;2;1;0;0;1;0;0;0;0;0
Tarragona;3;1;0;0;1;0;0;0;0;0
Badajoz;5;2;0;0;0;0;0;0;0;0
Cáceres;4;1;0;0;0;0;0;0;0;0
A Coruña;4;4;1;0;0;0;0;0;0;0
Lugo;1;3;1;0;0;0;0;0;0;0
Ourense;1;2;2;0;0;0;0;0;0;0
Pontevedra;3;4;1;0;0;0;0;0;0;0
Madrid;18;11;1;1;0;1;0;0;0;0
Navarra;3;2;0;0;0;0;0;0;0;0
Araba/Álava;2;1;0;0;0;0;1;0;0;0
Gipuzkoa;2;0;0;0;0;0;3;1;0;1
Bizkaia;4;1;0;0;0;0;4;1;0;0
Murcia;5;3;0;0;0;0;0;0;0;0
La Rioja;2;2;0;0;0;0;0;0;0;0
Alicante/Alacant;6;3;0;0;0;0;0;0;0;0
Castellón/Castelló;3;2;0;0;0;0;0;0;0;0
Valencia/València;10;5;0;0;0;0;0;0;0;0
Ceuta;1;0;0;0;0;0;0;0;0;0
Melilla;1;0;0;0;0;0;0;0;0;0
Total;202;107;11;4;12;2;8;2;1;1
