Provincia;PSOE;AP-PDP-PL;CDS;CIU;IU;EAJ-PNV;HB;EE;CG;PAR;AIC;UV
Almería;4;1;0;0;0;0;0;0;0;0;0;0
Cádiz;7;2;0;0;0;0;0;0;0;0;0;0
Córdoba;4;2;0;0;1;0;0;0;0;0;0;0
Granada;5;2;0;0;0;0;0;0;0;0;0;0
Huelva;4;1;0;0;0;0;0;0;0;0;0;0
Jaén;4;2;0;0;0;0;0;0;0;0;0;0
Málaga;6;2;0;0;1;0;0;0;0;0;0;0
Sevilla;8;3;0;0;1;0;0;0;0;0;0;0
Huesca;2;1;0;0;0;0;0;0;0;0;0;0
Teruel;2;1;0;0;0;0;0;0;0;0;0;0
Zaragoza;4;2;1;0;0;0;0;0;0;1;0;0
Asturias;5;2;1;0;1;0;0;0;0;0;0;0
Illes Balears;3;3;0;0;0;0;0;0;0;0;0;0
Las Palmas;3;2;2;0;0;0;0;0;0;0;0;0
Santa Cruz de Tenerife;3;1;1;0;0;0;0;0;0;0;1;0
Cantabria;3;2;0;0;0;0;0;0;0;0;0;0
Albacete;3;1;0;0;0;0;0;0;0;0;0;0
Ciudad Real;3;2;0;0;0;0;0;0;0;0;0;0
Cuenca;2;1;0;0;0;0;0;0;0;0;0;0
Guadalajara;1;2;0;0;0;0;0;0;0;0;0;0
Toledo;3;2;0;0;0;0;0;0;0;0;0;0
Ávila;1;1;1;0;0;0;0;0;0;0;0;0
Burgos;2;2;0;0;0;0;0;0;0;0;0;0
León;3;2;0;0;0;0;0;0;0;0;0;0
Palencia;2;1;0;0;0;0;0;0;0;0;0;0
Salamanca;2;1;1;0;0;0;0;0;0;0;0;0
Segovia;1;1;1;0;0;0;0;0;0;0;0;0
Soria;1;2;0;0;0;0;0;0;0;0;0;0
Valladolid;2;2;1;0;0;0;0;0;0;0;0;0
Zamora;2;2;0;0;0;0;0;0;0;0;0;0
Barcelona;16;4;1;11;1;0;0;0;0;0;0;0
Girona;2;0;0;3;0;0;0;0;0;0;0;0
Lleida;1;1;0;2;0;0;0;0;0;0;0;0
Tarragona;2;1;0;2;0;0;0;0;0;0;0;0
Badajoz;4;2;0;0;0;0;0;0;0;0;0;0
Cáceres;3;2;0;0;0;0;0;0;0;0;0;0
A Coruña;4;4;1;0;0;0;0;0;0;0;0;0
Lugo;2;3;0;0;0;0;0;0;0;0;0;0
Ourense;2;2;0;0;0;0;0;0;1;0;0;0
Pontevedra;3;4;1;0;0;0;0;0;0;0;0;0
Madrid;15;11;5;0;2;0;0;0;0;0;0;0
Navarra;2;2;0;0;0;0;1;0;0;0;0;0
Araba/Álava;2;1;0;0;0;1;0;0;0;0;0;0
Gipuzkoa;2;0;0;0;0;2;2;1;0;0;0;0
Bizkaia;3;1;0;0;0;3;2;1;0;0;0;0
Murcia;5;3;0;0;0;0;0;0;0;0;0;0
La Rioja;2;2;0;0;0;0;0;0;0;0;0;0
Alicante/Alacant;6;3;1;0;0;0;0;0;0;0;0;0
Castellón/Castelló;3;2;0;0;0;0;0;0;0;0;0;0
Valencia/València;9;5;1;0;0;0;0;0;0;0;0;1
Ceuta;1;0;0;0;0;0;0;0;0;0;0;0
Melilla;0;1;0;0;0;0;0;0;0;0;0;0
Total;184;105;19;18;7;6;5;2;1;1;1;1
