Provincia;PSOE;PP;IU;CDS;CIU;EAJ-PNV;HB;PA;UV;EA;EE;PAR;AIC
Almería;4;1;0;0;0;0;0;0;0;0;0;0;0
Cádiz;6;1;1;0;0;0;0;1;0;0;0;0;0
Córdoba;5;1;1;0;0;0;0;0;0;0;0;0;0
Granada;4;2;1;0;0;0;0;0;0;0;0;0;0
Huelva;4;1;0;0;0;0;0;0;0;0;0;0;0
Jaén;4;2;0;0;0;0;0;0;0;0;0;0;0
Málaga;7;2;1;0;0;0;0;0;0;0;0;0;0
Sevilla;8;2;1;0;0;0;0;1;0;0;0;0;0
Huesca;2;1;0;0;0;0;0;0;0;0;0;0;0
Teruel;2;1;0;0;0;0;0;0;0;0;0;0;0
Zaragoza;3;2;1;0;0;0;0;0;0;0;0;1;0
Asturias;4;3;1;1;0;0;0;0;0;0;0;0;0
Illes Balears;3;3;0;0;0;0;0;0;0;0;0;0;0
Las Palmas;3;2;0;2;0;0;0;0;0;0;0;0;0
Santa Cruz de Tenerife;4;1;0;1;0;0;0;0;0;0;0;0;1
Cantabria;3;2;0;0;0;0;0;0;0;0;0;0;0
Albacete;3;1;0;0;0;0;0;0;0;0;0;0;0
Ciudad Real;3;2;0;0;0;0;0;0;0;0;0;0;0
Cuenca;2;1;0;0;0;0;0;0;0;0;0;0;0
Guadalajara;1;2;0;0;0;0;0;0;0;0;0;0;0
Toledo;3;2;0;0;0;0;0;0;0;0;0;0;0
Ávila;1;1;0;1;0;0;0;0;0;0;0;0;0
Burgos;2;2;0;0;0;0;0;0;0;0;0;0;0
León;3;2;0;0;0;0;0;0;0;0;0;0;0
Palencia;1;2;0;0;0;0;0;0;0;0;0;0;0
Salamanca;2;2;0;0;0;0;0;0;0;0;0;0;0
Segovia;1;2;0;0;0;0;0;0;0;0;0;0;0
Soria;1;2;0;0;0;0;0;0;0;0;0;0;0
Valladolid;2;3;0;0;0;0;0;0;0;0;0;0;0
Zamora;1;2;0;0;0;0;0;0;0;0;0;0;0
Barcelona;14;3;3;1;11;0;0;0;0;0;0;0;0
Girona;2;0;0;0;3;0;0;0;0;0;0;0;0
Lleida;2;0;0;0;2;0;0;0;0;0;0;0;0
Tarragona;2;1;0;0;2;0;0;0;0;0;0;0;0
Badajoz;4;2;0;0;0;0;0;0;0;0;0;0;0
Cáceres;3;2;0;0;0;0;0;0;0;0;0;0;0
A Coruña;4;4;0;1;0;0;0;0;0;0;0;0;0
Lugo;2;3;0;0;0;0;0;0;0;0;0;0;0
Ourense;2;3;0;0;0;0;0;0;0;0;0;0;0
Pontevedra;4;4;0;0;0;0;0;0;0;0;0;0;0
Madrid;12;12;5;4;0;0;0;0;0;0;0;0;0
Navarra;2;3;0;0;0;0;0;0;0;0;0;0;0
Araba/Álava;2;1;0;0;0;1;0;0;0;0;0;0;0
Gipuzkoa;2;0;0;0;0;1;2;0;0;1;1;0;0
Bizkaia;2;1;0;0;0;3;2;0;0;1;1;0;0
Murcia;5;3;0;1;0;0;0;0;0;0;0;0;0
La Rioja;2;2;0;0;0;0;0;0;0;0;0;0;0
Alicante/Alacant;5;3;1;1;0;0;0;0;0;0;0;0;0
Castellón/Castelló;3;2;0;0;0;0;0;0;0;0;0;0;0
Valencia/València;8;4;1;1;0;0;0;0;2;0;0;0;0
Ceuta;1;0;0;0;0;0;0;0;0;0;0;0;0
Melilla;0;1;0;0;0;0;0;0;0;0;0;0;0
Total;175;107;17;14;18;5;4;2;2;2;2;1;1
