Partido;PSOE;PP;IU;CIU;EAJ-PNV;CC;HB;ERC;PAR;EA-EUE;UV
Almería;3;2;0;0;0;0;0;0;0;0;0
Cádiz;5;3;1;0;0;0;0;0;0;0;0
Córdoba;4;2;1;0;0;0;0;0;0;0;0
Granada;4;3;0;0;0;0;0;0;0;0;0
Huelva;3;2;0;0;0;0;0;0;0;0;0
Jaén;4;2;0;0;0;0;0;0;0;0;0
Málaga;6;3;1;0;0;0;0;0;0;0;0
Sevilla;8;3;1;0;0;0;0;0;0;0;0
Huesca;2;1;0;0;0;0;0;0;0;0;0
Teruel;2;1;0;0;0;0;0;0;0;0;0
Zaragoza;3;2;1;0;0;0;0;0;1;0;0
Asturias;4;4;1;0;0;0;0;0;0;0;0
Illes Balears;3;4;0;0;0;0;0;0;0;0;0
Las Palmas;2;3;0;0;0;2;0;0;0;0;0
Santa Cruz de Tenerife;3;2;0;0;0;2;0;0;0;0;0
Cantabria;3;2;0;0;0;0;0;0;0;0;0
Albacete;2;2;0;0;0;0;0;0;0;0;0
Ciudad Real;3;2;0;0;0;0;0;0;0;0;0
Cuenca;1;2;0;0;0;0;0;0;0;0;0
Guadalajara;1;2;0;0;0;0;0;0;0;0;0
Toledo;3;2;0;0;0;0;0;0;0;0;0
Ávila;1;2;0;0;0;0;0;0;0;0;0
Burgos;2;2;0;0;0;0;0;0;0;0;0
León;2;3;0;0;0;0;0;0;0;0;0
Palencia;1;2;0;0;0;0;0;0;0;0;0
Salamanca;2;2;0;0;0;0;0;0;0;0;0
Segovia;1;2;0;0;0;0;0;0;0;0;0
Soria;1;2;0;0;0;0;0;0;0;0;0
Valladolid;2;3;0;0;0;0;0;0;0;0;0
Zamora;1;2;0;0;0;0;0;0;0;0;0
Barcelona;12;6;3;10;0;0;0;1;0;0;0
Girona;2;0;0;3;0;0;0;0;0;0;0
Lleida;1;1;0;2;0;0;0;0;0;0;0
Tarragona;3;1;0;2;0;0;0;0;0;0;0
Badajoz;4;2;0;0;0;0;0;0;0;0;0
Cáceres;3;2;0;0;0;0;0;0;0;0;0
A Coruña;4;5;0;0;0;0;0;0;0;0;0
Lugo;2;3;0;0;0;0;0;0;0;0;0
Ourense;2;2;0;0;0;0;0;0;0;0;0
Pontevedra;3;5;0;0;0;0;0;0;0;0;0
Madrid;13;16;5;0;0;0;0;0;0;0;0
Navarra;2;3;0;0;0;0;0;0;0;0;0
Araba/Álava;2;1;0;0;1;0;0;0;0;0;0
Gipuzkoa;2;1;0;0;1;0;1;0;0;1;0
Bizkaia;3;2;0;0;3;0;1;0;0;0;0
Murcia;4;4;1;0;0;0;0;0;0;0;0
La Rioja;2;2;0;0;0;0;0;0;0;0;0
Alicante/Alacant;4;5;1;0;0;0;0;0;0;0;0
Castellón/Castelló;2;3;0;0;0;0;0;0;0;0;0
Valencia/València;6;7;2;0;0;0;0;0;0;0;1
Ceuta;0;1;0;0;0;0;0;0;0;0;0
Melilla;1;0;0;0;0;0;0;0;0;0;0
Total;159;141;18;17;5;4;2;1;1;1;1
