Provincia;PP;PSOE;IU;CIU;EAJ-PNV;CC;BNG;HB;ERC;EA;UV
Almería;2;3;0;0;0;0;0;0;0;0;0
Cádiz;4;4;1;0;0;0;0;0;0;0;0
Córdoba;2;4;1;0;0;0;0;0;0;0;0
Granada;3;3;1;0;0;0;0;0;0;0;0
Huelva;2;3;0;0;0;0;0;0;0;0;0
Jaén;3;3;0;0;0;0;0;0;0;0;0
Málaga;4;5;1;0;0;0;0;0;0;0;0
Sevilla;4;7;2;0;0;0;0;0;0;0;0
Huesca;2;1;0;0;0;0;0;0;0;0;0
Teruel;2;1;0;0;0;0;0;0;0;0;0
Zaragoza;4;3;0;0;0;0;0;0;0;0;0
Asturias;4;4;1;0;0;0;0;0;0;0;0
Illes Balears;4;3;0;0;0;0;0;0;0;0;0
Las Palmas;3;2;0;0;0;2;0;0;0;0;0
Santa Cruz de Tenerife;2;3;0;0;0;2;0;0;0;0;0
Cantabria;3;2;0;0;0;0;0;0;0;0;0
Albacete;2;2;0;0;0;0;0;0;0;0;0
Ciudad Real;2;3;0;0;0;0;0;0;0;0;0
Cuenca;2;1;0;0;0;0;0;0;0;0;0
Guadalajara;2;1;0;0;0;0;0;0;0;0;0
Toledo;3;2;0;0;0;0;0;0;0;0;0
Ávila;2;1;0;0;0;0;0;0;0;0;0
Burgos;3;1;0;0;0;0;0;0;0;0;0
León;3;2;0;0;0;0;0;0;0;0;0
Palencia;2;1;0;0;0;0;0;0;0;0;0
Salamanca;3;1;0;0;0;0;0;0;0;0;0
Segovia;2;1;0;0;0;0;0;0;0;0;0
Soria;2;1;0;0;0;0;0;0;0;0;0
Valladolid;3;2;0;0;0;0;0;0;0;0;0
Zamora;2;1;0;0;0;0;0;0;0;0;0
Barcelona;6;13;2;9;0;0;0;0;1;0;0
Girona;0;2;0;3;0;0;0;0;0;0;0
Lleida;1;1;0;2;0;0;0;0;0;0;0
Tarragona;1;3;0;2;0;0;0;0;0;0;0
Badajoz;3;3;0;0;0;0;0;0;0;0;0
Cáceres;2;3;0;0;0;0;0;0;0;0;0
A Coruña;5;3;0;0;0;0;1;0;0;0;0
Lugo;3;1;0;0;0;0;0;0;0;0;0
Ourense;2;2;0;0;0;0;0;0;0;0;0
Pontevedra;4;3;0;0;0;0;1;0;0;0;0
Madrid;17;11;6;0;0;0;0;0;0;0;0
Navarra;2;2;1;0;0;0;0;0;0;0;0
Araba/Álava;2;1;0;0;1;0;0;0;0;0;0
Gipuzkoa;1;2;0;0;1;0;0;1;0;1;0
Bizkaia;2;2;1;0;3;0;0;1;0;0;0
Murcia;5;3;1;0;0;0;0;0;0;0;0
La Rioja;2;2;0;0;0;0;0;0;0;0;0
Alicante/Alacant;5;5;1;0;0;0;0;0;0;0;0
Castellón/Castelló;3;2;0;0;0;0;0;0;0;0;0
Valencia/València;7;6;2;0;0;0;0;0;0;0;1
Ceuta;1;0;0;0;0;0;0;0;0;0;0
Melilla;1;0;0;0;0;0;0;0;0;0;0
Total;156;141;21;16;5;4;2;2;1;1;1
