Provincia;PP;PSOE-PROGR.;IU;CIU;EAJ-PNV;BNG;CC;PA;ERC;IC-V;EA;CHA
Almería;3;2;0;0;0;0;0;0;0;0;0;0
Cádiz;4;4;0;0;0;0;0;1;0;0;0;0
Córdoba;3;3;1;0;0;0;0;0;0;0;0;0
Granada;3;4;0;0;0;0;0;0;0;0;0;0
Huelva;2;3;0;0;0;0;0;0;0;0;0;0
Jaén;3;3;0;0;0;0;0;0;0;0;0;0
Málaga;5;4;1;0;0;0;0;0;0;0;0;0
Sevilla;5;7;1;0;0;0;0;0;0;0;0;0
Huesca;2;1;0;0;0;0;0;0;0;0;0;0
Teruel;2;1;0;0;0;0;0;0;0;0;0;0
Zaragoza;4;2;0;0;0;0;0;0;0;0;0;1
Asturias;5;3;1;0;0;0;0;0;0;0;0;0
Illes Balears;5;2;0;0;0;0;0;0;0;0;0;0
Las Palmas;4;1;0;0;0;0;2;0;0;0;0;0
Santa Cruz de Tenerife;3;2;0;0;0;0;2;0;0;0;0;0
Cantabria;3;2;0;0;0;0;0;0;0;0;0;0
Albacete;2;2;0;0;0;0;0;0;0;0;0;0
Ciudad Real;3;2;0;0;0;0;0;0;0;0;0;0
Cuenca;2;1;0;0;0;0;0;0;0;0;0;0
Guadalajara;2;1;0;0;0;0;0;0;0;0;0;0
Toledo;3;2;0;0;0;0;0;0;0;0;0;0
Ávila;2;1;0;0;0;0;0;0;0;0;0;0
Burgos;3;1;0;0;0;0;0;0;0;0;0;0
León;3;2;0;0;0;0;0;0;0;0;0;0
Palencia;2;1;0;0;0;0;0;0;0;0;0;0
Salamanca;3;1;0;0;0;0;0;0;0;0;0;0
Segovia;2;1;0;0;0;0;0;0;0;0;0;0
Soria;2;1;0;0;0;0;0;0;0;0;0;0
Valladolid;3;2;0;0;0;0;0;0;0;0;0;0
Zamora;2;1;0;0;0;0;0;0;0;0;0;0
Barcelona;8;12;0;9;0;0;0;0;1;1;0;0
Girona;1;2;0;2;0;0;0;0;0;0;0;0
Lleida;1;1;0;2;0;0;0;0;0;0;0;0
Tarragona;2;2;0;2;0;0;0;0;0;0;0;0
Badajoz;3;3;0;0;0;0;0;0;0;0;0;0
Cáceres;3;2;0;0;0;0;0;0;0;0;0;0
A Coruña;5;2;0;0;0;2;0;0;0;0;0;0
Lugo;3;1;0;0;0;0;0;0;0;0;0;0
Ourense;3;1;0;0;0;0;0;0;0;0;0;0
Pontevedra;5;2;0;0;0;1;0;0;0;0;0;0
Madrid;19;12;3;0;0;0;0;0;0;0;0;0
Navarra;3;2;0;0;0;0;0;0;0;0;0;0
Araba/Álava;2;1;0;0;1;0;0;0;0;0;0;0
Gipuzkoa;2;1;0;0;2;0;0;0;0;0;1;0
Bizkaia;3;2;0;0;4;0;0;0;0;0;0;0
Murcia;6;3;0;0;0;0;0;0;0;0;0;0
La Rioja;3;1;0;0;0;0;0;0;0;0;0;0
Alicante/Alacant;7;4;0;0;0;0;0;0;0;0;0;0
Castellón/Castelló;3;2;0;0;0;0;0;0;0;0;0;0
Valencia/València;9;6;1;0;0;0;0;0;0;0;0;0
Ceuta;1;0;0;0;0;0;0;0;0;0;0;0
Melilla;1;0;0;0;0;0;0;0;0;0;0;0
Total;183;125;8;15;7;3;4;1;1;1;1;1
