Provincia;PSOE;PP;IU;CiU;ERC;EAJ-PNV;CC;BNG;CHA;EA;Na-Bai
Almería;3;2;0;0;0;0;0;0;0;0;0
Cádiz;6;3;0;0;0;0;0;0;0;0;0
Córdoba;4;3;0;0;0;0;0;0;0;0;0
Granada;4;3;0;0;0;0;0;0;0;0;0
Huelva;3;2;0;0;0;0;0;0;0;0;0
Jaén;4;2;0;0;0;0;0;0;0;0;0
Málaga;6;4;0;0;0;0;0;0;0;0;0
Sevilla;8;4;0;0;0;0;0;0;0;0;0
Huesca;2;1;0;0;0;0;0;0;0;0;0
Teruel;2;1;0;0;0;0;0;0;0;0;0
Zaragoza;3;3;0;0;0;0;0;0;1;0;0
Asturias;4;4;0;0;0;0;0;0;0;0;0
Illes Balears;4;4;0;0;0;0;0;0;0;0;0
Las Palmas;3;4;0;0;0;0;1;0;0;0;0
Santa Cruz de Tenerife;3;2;0;0;0;0;2;0;0;0;0
Cantabria;2;3;0;0;0;0;0;0;0;0;0
Albacete;2;2;0;0;0;0;0;0;0;0;0
Ciudad Real;3;2;0;0;0;0;0;0;0;0;0
Cuenca;1;2;0;0;0;0;0;0;0;0;0
Guadalajara;1;2;0;0;0;0;0;0;0;0;0
Toledo;2;3;0;0;0;0;0;0;0;0;0
Ávila;1;2;0;0;0;0;0;0;0;0;0
Burgos;2;2;0;0;0;0;0;0;0;0;0
León;3;2;0;0;0;0;0;0;0;0;0
Palencia;1;2;0;0;0;0;0;0;0;0;0
Salamanca;2;2;0;0;0;0;0;0;0;0;0
Segovia;1;2;0;0;0;0;0;0;0;0;0
Soria;1;2;0;0;0;0;0;0;0;0;0
Valladolid;2;3;0;0;0;0;0;0;0;0;0
Zamora;1;2;0;0;0;0;0;0;0;0;0
Barcelona;14;5;2;6;4;0;0;0;0;0;0
Girona;2;0;0;2;2;0;0;0;0;0;0
Lleida;2;0;0;1;1;0;0;0;0;0;0
Tarragona;3;1;0;1;1;0;0;0;0;0;0
Badajoz;3;3;0;0;0;0;0;0;0;0;0
Cáceres;2;2;0;0;0;0;0;0;0;0;0
A Coruña;4;4;0;0;0;0;0;1;0;0;0
Lugo;2;2;0;0;0;0;0;0;0;0;0
Ourense;1;3;0;0;0;0;0;0;0;0;0
Pontevedra;3;3;0;0;0;0;0;1;0;0;0
Madrid;16;17;2;0;0;0;0;0;0;0;0
Navarra;2;2;0;0;0;0;0;0;0;0;1
Araba/Álava;2;1;0;0;0;1;0;0;0;0;0
Gipuzkoa;2;1;0;0;0;2;0;0;0;1;0
Bizkaia;3;2;0;0;0;4;0;0;0;0;0
Murcia;3;6;0;0;0;0;0;0;0;0;0
La Rioja;2;2;0;0;0;0;0;0;0;0;0
Alicante/Alacant;5;6;0;0;0;0;0;0;0;0;0
Castellón/Castelló;2;3;0;0;0;0;0;0;0;0;0
Valencia/València;7;8;1;0;0;0;0;0;0;0;0
Ceuta;0;1;0;0;0;0;0;0;0;0;0
Melilla;0;1;0;0;0;0;0;0;0;0;0
Total;164;148;5;10;8;7;3;2;1;1;1
