Provincia;P.S.O.E.;P.P.;I.U.;CiU;EAJ-PNV;UPyD;ESQUERRA;B.N.G.;CC-PNC;NA-BAI
Almería;3;3;0;0;0;0;0;0;0;0
Cádiz;5;4;0;0;0;0;0;0;0;0
Córdoba;4;2;0;0;0;0;0;0;0;0
Granada;4;3;0;0;0;0;0;0;0;0
Huelva;3;2;0;0;0;0;0;0;0;0
Jaén;4;2;0;0;0;0;0;0;0;0
Málaga;5;5;0;0;0;0;0;0;0;0
Sevilla;8;4;0;0;0;0;0;0;0;0
Huesca;2;1;0;0;0;0;0;0;0;0
Teruel;2;1;0;0;0;0;0;0;0;0
Zaragoza;4;3;0;0;0;0;0;0;0;0
Asturias;4;4;0;0;0;0;0;0;0;0
Illes Balears;4;4;0;0;0;0;0;0;0;0
Las Palmas;4;4;0;0;0;0;0;0;0;0
Santa Cruz de Tenerife;3;2;0;0;0;0;0;0;2;0
Cantabria;2;3;0;0;0;0;0;0;0;0
Albacete;2;2;0;0;0;0;0;0;0;0
Ciudad Real;2;3;0;0;0;0;0;0;0;0
Cuenca;1;2;0;0;0;0;0;0;0;0
Guadalajara;1;2;0;0;0;0;0;0;0;0
Toledo;3;3;0;0;0;0;0;0;0;0
Ávila;1;2;0;0;0;0;0;0;0;0
Burgos;2;2;0;0;0;0;0;0;0;0
León;3;2;0;0;0;0;0;0;0;0
Palencia;1;2;0;0;0;0;0;0;0;0
Salamanca;2;2;0;0;0;0;0;0;0;0
Segovia;1;2;0;0;0;0;0;0;0;0
Soria;1;1;0;0;0;0;0;0;0;0
Valladolid;2;3;0;0;0;0;0;0;0;0
Zamora;1;2;0;0;0;0;0;0;0;0
Barcelona;16;6;1;6;0;0;2;0;0;0
Girona;3;0;0;2;0;0;1;0;0;0
Lleida;2;1;0;1;0;0;0;0;0;0
Tarragona;4;1;0;1;0;0;0;0;0;0
Badajoz;3;3;0;0;0;0;0;0;0;0
Cáceres;2;2;0;0;0;0;0;0;0;0
A Coruña;3;4;0;0;0;0;0;1;0;0
Lugo;2;2;0;0;0;0;0;0;0;0
Ourense;2;2;0;0;0;0;0;0;0;0
Pontevedra;3;3;0;0;0;0;0;1;0;0
Madrid;15;18;1;0;0;1;0;0;0;0
Navarra;2;2;0;0;0;0;0;0;0;1
Araba/Álava;2;1;0;0;1;0;0;0;0;0
Gipuzkoa;3;1;0;0;2;0;0;0;0;0
Bizkaia;4;1;0;0;3;0;0;0;0;0
Murcia;3;7;0;0;0;0;0;0;0;0
La Rioja;2;2;0;0;0;0;0;0;0;0
Alicante/Alacant;5;7;0;0;0;0;0;0;0;0
Castellón/Castelló;2;3;0;0;0;0;0;0;0;0
Valencia/València;7;9;0;0;0;0;0;0;0;0
Ceuta;0;1;0;0;0;0;0;0;0;0
Melilla;0;1;0;0;0;0;0;0;0;0
Total;169;154;2;10;6;1;3;2;2;1
