Provincia;PP;PSOE;PODEMOS-IU-EQUO;C's;ECP;PODEMOS-COMPROMÍS-EUPV;ERC-CATSÍ;CDC;PODEMOS-EN MAREA-ANOVA-EU;EAJ-PNV;EH Bildu;CCa-PNC
Almería;3;2;0;1;0;0;0;0;0;0;0;0
Cádiz;3;3;2;1;0;0;0;0;0;0;0;0
Córdoba;2;2;1;1;0;0;0;0;0;0;0;0
Granada;3;2;1;1;0;0;0;0;0;0;0;0
Huelva;2;2;1;0;0;0;0;0;0;0;0;0
Jaén;2;2;1;0;0;0;0;0;0;0;0;0
Málaga;4;3;2;2;0;0;0;0;0;0;0;0
Sevilla;4;4;3;1;0;0;0;0;0;0;0;0
Huesca;1;1;1;0;0;0;0;0;0;0;0;0
Teruel;2;1;0;0;0;0;0;0;0;0;0;0
Zaragoza;3;2;1;1;0;0;0;0;0;0;0;0
Asturias;3;2;2;1;0;0;0;0;0;0;0;0
Illes Balears;3;2;2;1;0;0;0;0;0;0;0;0
Las Palmas;3;2;2;1;0;0;0;0;0;0;0;0
Santa Cruz de Tenerife;3;1;1;1;0;0;0;0;0;0;0;1
Cantabria;2;1;1;1;0;0;0;0;0;0;0;0
Albacete;2;1;1;0;0;0;0;0;0;0;0;0
Ciudad Real;3;2;0;0;0;0;0;0;0;0;0;0
Cuenca;2;1;0;0;0;0;0;0;0;0;0;0
Guadalajara;2;1;0;0;0;0;0;0;0;0;0;0
Toledo;3;2;1;0;0;0;0;0;0;0;0;0
Ávila;2;1;0;0;0;0;0;0;0;0;0;0
Burgos;2;1;1;0;0;0;0;0;0;0;0;0
León;2;1;1;0;0;0;0;0;0;0;0;0
Palencia;2;1;0;0;0;0;0;0;0;0;0;0
Salamanca;3;1;0;0;0;0;0;0;0;0;0;0
Segovia;2;1;0;0;0;0;0;0;0;0;0;0
Soria;1;1;0;0;0;0;0;0;0;0;0;0
Valladolid;2;1;1;1;0;0;0;0;0;0;0;0
Zamora;2;1;0;0;0;0;0;0;0;0;0;0
Barcelona;4;5;0;4;9;0;5;4;0;0;0;0
Girona;0;1;0;0;1;0;2;2;0;0;0;0
Lleida;1;0;0;0;1;0;1;1;0;0;0;0
Tarragona;1;1;0;1;1;0;1;1;0;0;0;0
Badajoz;3;2;1;0;0;0;0;0;0;0;0;0
Cáceres;2;2;0;0;0;0;0;0;0;0;0;0
A Coruña;4;2;0;0;0;0;0;0;2;0;0;0
Lugo;2;1;0;0;0;0;0;0;1;0;0;0
Ourense;3;1;0;0;0;0;0;0;0;0;0;0
Pontevedra;3;2;0;0;0;0;0;0;2;0;0;0
Madrid;15;7;8;6;0;0;0;0;0;0;0;0
Navarra;2;1;2;0;0;0;0;0;0;0;0;0
Araba/Álava;1;1;1;0;0;0;0;0;0;1;0;0
Gipuzkoa;0;1;2;0;0;0;0;0;0;2;1;0
Bizkaia;1;1;3;0;0;0;0;0;0;2;1;0
Murcia;5;2;1;2;0;0;0;0;0;0;0;0
La Rioja;2;1;1;0;0;0;0;0;0;0;0;0
Alicante/Alacant;5;2;0;2;0;3;0;0;0;0;0;0
Castellón/Castelló;2;1;0;1;0;1;0;0;0;0;0;0
Valencia/València;6;3;0;2;0;5;0;0;0;0;0;0
Ceuta;1;0;0;0;0;0;0;0;0;0;0;0
Melilla;1;0;0;0;0;0;0;0;0;0;0;0
Total;137;85;45;32;12;9;9;8;5;5;2;1
