Provincia;PP;PSOE;VOX;SUMAR;ERC;JxCAT-JUNTS;EH Bildu;EAJ-PNV;B.N.G.;CCa;U.P.N.
Almería;3;2;1;0;0;0;0;0;0;0;0
Cádiz;4;3;1;1;0;0;0;0;0;0;0
Córdoba;2;2;1;1;0;0;0;0;0;0;0
Granada;3;2;1;1;0;0;0;0;0;0;0
Huelva;2;2;1;0;0;0;0;0;0;0;0
Jaén;2;2;1;0;0;0;0;0;0;0;0
Málaga;5;3;2;1;0;0;0;0;0;0;0
Sevilla;4;5;1;2;0;0;0;0;0;0;0
Huesca;2;1;0;0;0;0;0;0;0;0;0
Teruel;2;1;0;0;0;0;0;0;0;0;0
Zaragoza;3;2;1;1;0;0;0;0;0;0;0
Asturias;3;2;1;1;0;0;0;0;0;0;0
Illes Balears;3;3;1;1;0;0;0;0;0;0;0
Las Palmas;3;3;1;1;0;0;0;0;0;0;0
Santa Cruz de Tenerife;3;3;0;0;0;0;0;0;0;1;0
Cantabria;2;2;1;0;0;0;0;0;0;0;0
Albacete;2;2;0;0;0;0;0;0;0;0;0
Ciudad Real;2;2;1;0;0;0;0;0;0;0;0
Cuenca;2;1;0;0;0;0;0;0;0;0;0
Guadalajara;1;1;1;0;0;0;0;0;0;0;0
Toledo;3;2;1;0;0;0;0;0;0;0;0
Ávila;2;1;0;0;0;0;0;0;0;0;0
Burgos;2;2;0;0;0;0;0;0;0;0;0
León;2;2;0;0;0;0;0;0;0;0;0
Palencia;2;1;0;0;0;0;0;0;0;0;0
Salamanca;3;1;0;0;0;0;0;0;0;0;0
Segovia;2;1;0;0;0;0;0;0;0;0;0
Soria;1;1;0;0;0;0;0;0;0;0;0
Valladolid;2;2;1;0;0;0;0;0;0;0;0
Zamora;2;1;0;0;0;0;0;0;0;0;0
Barcelona;5;13;2;5;4;3;0;0;0;0;0
Girona;0;2;0;1;1;2;0;0;0;0;0
Lleida;0;2;0;0;1;1;0;0;0;0;0
Tarragona;1;2;0;1;1;1;0;0;0;0;0
Badajoz;2;2;1;0;0;0;0;0;0;0;0
Cáceres;2;2;0;0;0;0;0;0;0;0;0
A Coruña;4;2;0;1;0;0;0;0;1;0;0
Lugo;3;1;0;0;0;0;0;0;0;0;0
Ourense;3;1;0;0;0;0;0;0;0;0;0
Pontevedra;3;3;0;1;0;0;0;0;0;0;0
Madrid;16;10;5;6;0;0;0;0;0;0;0
Navarra;1;2;0;0;0;0;1;0;0;0;1
Araba/Álava;1;1;0;0;0;0;1;1;0;0;0
Gipuzkoa;0;2;0;0;0;0;2;2;0;0;0
Bizkaia;1;2;0;1;0;0;2;2;0;0;0
Murcia;4;3;2;1;0;0;0;0;0;0;0
La Rioja;2;2;0;0;0;0;0;0;0;0;0
Alicante/Alacant;5;4;2;1;0;0;0;0;0;0;0
Castellón/Castelló;2;2;1;0;0;0;0;0;0;0;0
Valencia/València;6;5;2;3;0;0;0;0;0;0;0
Ceuta;1;0;0;0;0;0;0;0;0;0;0
Melilla;1;0;0;0;0;0;0;0;0;0;0
Total;137;121;33;31;7;7;6;5;1;1;1
